Název;Cena;URL;Cena_cista;Dispozice;Plocha_m2;Lokalita
Pronájem bytu 2+1 54 m²Dukelská, Zlín;1​7​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-dukelska/402633548;17000.0;2+1;54.0;Dukelská, Zlín
Pronájem bytu 3+kk 82 m²Úprkova, Luhačovice;2​0​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/luhacovice-luhacovice-uprkova/1598010188;20000.0;3+kk;82.0;Úprkova, Luhačovice
Pronájem bytu 1+kk 28 m²B. Němcové, Zlín - Prštné;1​2​ ​2​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-prstne-b-nemcove/1974055756;12200.0;1+kk;28.0;B. Němcové, Zlín - Prštné
Pronájem bytu 3+1 74 m²Otrokovice;1​8​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/otrokovice-otrokovice-/685355852;18000.0;3+1;74.0;Otrokovice
Pronájem bytu 1+1 42 m²SNP, Otrokovice - Kvítkovice;1​3​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/otrokovice-kvitkovice-snp/3743904332;13000.0;1+1;42.0;SNP, Otrokovice - Kvítkovice
Pronájem bytu 4+1 88 m²Okružní, Zlín;2​5​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/4+1/zlin-zlin-okruzni/775029324;25500.0;4+1;88.0;Okružní, Zlín
Pronájem bytu 3+1 68 m²Benešovo nábřeží, Zlín;2​1​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-benesovo-nabrezi/690664268;21500.0;3+1;68.0;Benešovo nábřeží, Zlín
Pronájem bytu 2+1 55 m²M. Knesla, Zlín;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-m-knesla/2439689036;12000.0;2+1;55.0;M. Knesla, Zlín
Pronájem bytu 1+kk 25 m²K Majáku, Zlín;8​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-k-majaku/1641788236;8000.0;1+kk;25.0;K Majáku, Zlín
Pronájem bytu 2+1 45 m²Čechova, Otrokovice;1​3​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-otrokovice-cechova/1197192012;13000.0;2+1;45.0;Čechova, Otrokovice
Pronájem bytu 3+1 73 m²Severní Vršava, Zlín;1​4​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-severni-vrsava/1749791564;14000.0;3+1;73.0;Severní Vršava, Zlín
Pronájem bytu 2+kk 58 m²Fügnerovo nábřeží, Zlín;1​8​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-fugnerovo-nabrezi/1202995788;18000.0;2+kk;58.0;Fügnerovo nábřeží, Zlín
Pronájem bytu 2+1 66 m²Tylova, Otrokovice;1​6​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-otrokovice-tylova/3869524556;16000.0;2+1;66.0;Tylova, Otrokovice
Pronájem bytu 2+kk 52 m²Štefánikova, Zlín;2​3​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-stefanikova/2143699532;23900.0;2+kk;52.0;Štefánikova, Zlín
Pronájem bytu 3+1 75 m²Družstevní, Luhačovice;1​5​ ​7​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/luhacovice-luhacovice-druzstevni/2954248780;15700.0;3+1;75.0;Družstevní, Luhačovice
Pronájem bytu 1+kk 27 m²Dětská, Zlín;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-detska/86393420;12000.0;1+kk;27.0;Dětská, Zlín
Pronájem bytu 1+kk 25 m²třída Tomáše Bati, Zlín;1​0​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-trida-tomase-bati/354894412;10000.0;1+kk;25.0;třída Tomáše Bati, Zlín
Pronájem bytu 2+1 45 m²Na Honech II, Zlín;9​ ​8​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-na-honech-ii/3782468172;9800.0;2+1;45.0;Na Honech II, Zlín
Pronájem bytu 1+kk 35 m²Družstevní, Zlín;1​2​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-druzstevni/1254113868;12500.0;1+kk;35.0;Družstevní, Zlín
Pronájem bytu 2+1 70 m²Masarykovo náměstí, Valašské Klobouky;1​5​ ​4​5​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/valasske-klobouky-valasske-klobouky-masarykovo-namesti/2166374988;15450.0;2+1;70.0;Masarykovo náměstí, Valašské Klobouky
Pronájem bytu 2+kk 51 m²Pasecká, Zlín;1​6​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-pasecka/3080602188;16000.0;2+kk;51.0;Pasecká, Zlín
Pronájem bytu 2+1 57 m²Podvesná IV, Zlín;1​2​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-podvesna-iv/783434316;12500.0;2+1;57.0;Podvesná IV, Zlín
Pronájem bytu 3+kk 57 m²Komenského, Fryšták - Horní Ves;1​5​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/frystak-horni-ves-komenskeho/549601868;15000.0;3+kk;57.0;Komenského, Fryšták - Horní Ves
Pronájem bytu 3+1 52 m²Mostní, Zlín;2​5​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-mostni/3403825740;25000.0;3+1;52.0;Mostní, Zlín
Pronájem bytu 1+kk 33 m²Kvítková, Zlín;1​3​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-kvitkova/1620263500;13900.0;1+kk;33.0;Kvítková, Zlín
Pronájem bytu 1+1 46 m²Sokolská, Zlín;1​0​ ​3​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-sokolska/719077964;10300.0;1+1;46.0;Sokolská, Zlín
Pronájem bytu 1+kk 30 m²Pančava, Zlín - Příluky;8​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-priluky-pancava/1189888588;8000.0;1+kk;30.0;Pančava, Zlín - Příluky
Pronájem bytu 2+1 59 m²Družba, Brumov-Bylnice - Brumov;1​3​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/brumov-bylnice-brumov-druzba/3026010700;13000.0;2+1;59.0;Družba, Brumov-Bylnice - Brumov
Pronájem bytu 1+kk 33 m²Kvítková, Zlín;1​4​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-kvitkova/3340595788;14900.0;1+kk;33.0;Kvítková, Zlín
Pronájem bytu 1+1 37 m²Mokrá I, Zlín - Mladcová;1​1​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-mladcova-mokra-i/3634451020;11000.0;1+1;37.0;Mokrá I, Zlín - Mladcová
Pronájem bytu 2+kk 34 m²Javorová, Zlín;1​0​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-javorova/120472140;10500.0;2+kk;34.0;Javorová, Zlín
Pronájem bytu 2+1 56 m²Dlouhá, Zlín;1​6​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-dlouha/3058582092;16000.0;2+1;56.0;Dlouhá, Zlín
Pronájem bytu 3+kk 61 m²Moravní, Otrokovice;1​5​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/otrokovice-otrokovice-moravni/1148076620;15500.0;3+kk;61.0;Moravní, Otrokovice
Pronájem bytu 3+kk 96 m²Dr. Veselého, Luhačovice;3​6​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/luhacovice-luhacovice-dr-veseleho/3013558860;36000.0;3+kk;96.0;Dr. Veselého, Luhačovice
Pronájem bytu 2+kk 49 m²Osvoboditelů, Zlín;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-osvoboditelu/3768533580;12000.0;2+kk;49.0;Osvoboditelů, Zlín
Pronájem bytu 3+1 72 m²Štefánikova, Zlín;1​4​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-stefanikova/2702131788;14900.0;3+1;72.0;Štefánikova, Zlín
Pronájem bytu 1+kk 30 m²Lorencova, Zlín;1​1​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-lorencova/3647947340;11000.0;1+kk;30.0;Lorencova, Zlín
Pronájem bytu 3+kk 96 m²Nádražní, Luhačovice;C​e​n​a​ ​n​a​ ​v​y​ž​á​d​á​n​í​;https://www.sreality.cz/detail/pronajem/byt/3+kk/luhacovice-luhacovice-nadrazni/287916620;;3+kk;96.0;Nádražní, Luhačovice
Pronájem bytu 2+1 70 m²Padělky VI, Zlín;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-padelky-vi/2634695244;12000.0;2+1;70.0;Padělky VI, Zlín
Pronájem bytu 2+1 66 m²Fabiánka II, Zlín - Kudlov;1​3​ ​7​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-kudlov-fabianka-ii/1993175628;13700.0;2+1;66.0;Fabiánka II, Zlín - Kudlov
Pronájem bytu 2+1 61 m²Nábřeží, Napajedla;1​1​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/napajedla-napajedla-nabrezi/3584913996;11000.0;2+1;61.0;Nábřeží, Napajedla
Pronájem bytu 4+1 77 m²Okružní, Zlín;25 500 Kč;https://www.sreality.cz/detail/pronajem/byt/4+1/zlin-zlin-okruzni/668226124;25500.0;4+1;77.0;Okružní, Zlín
Pronájem bytu 3+1 78 m²Masarykovo nám., Vizovice;1​5​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/vizovice-vizovice-masarykovo-nam/595612236;15500.0;3+1;78.0;Masarykovo nám., Vizovice
Pronájem bytu 1+kk 33 m²Kvítková, Zlín;1​9​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-kvitkova/145838668;19900.0;1+kk;33.0;Kvítková, Zlín
Pronájem bytu 1+kk 33 m²Kvítková, Zlín;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-kvitkova/3645023052;12000.0;1+kk;33.0;Kvítková, Zlín
Pronájem bytu 1+kk 26 m²Družstevní, Zlín;8​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-druzstevni/214127180;8000.0;1+kk;26.0;Družstevní, Zlín
Pronájem bytu 1+1 39 m²Kúty, Zlín;9​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-kuty/2469614156;9000.0;1+1;39.0;Kúty, Zlín
Pronájem bytu 2+kk 54 m²Březnice;1​2​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/breznice-breznice-/186470988;12900.0;2+kk;54.0;Březnice
Pronájem bytu 2+1 73 m²Přílucká, Zlín - Příluky;1​6​ ​0​0​0​ ​K​č​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-priluky-prilucka/2926531148;16000.0;2+1;73.0;Přílucká, Zlín - Příluky
Pronájem bytu pokoje 28 m²Sokolská, Hvozdná;5​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/pokoj/hvozdna-hvozdna-sokolska/399069772;5000.0;;28.0;Sokolská, Hvozdná
Pronájem bytu pokoje 114 m²třída Tomáše Bati, Zlín;3​ ​7​0​8​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-zlin-trida-tomase-bati/3861402188;3708.0;;114.0;třída Tomáše Bati, Zlín
Pronájem bytu 3+kk 89 m²Kamenná, Zlín;2​0​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-kamenna/1388991052;20000.0;3+kk;89.0;Kamenná, Zlín
Pronájem bytu 3+1 72 m²Podlesí III, Zlín;1​4​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-podlesi-iii/3906822732;14000.0;3+1;72.0;Podlesí III, Zlín
Pronájem bytu 2+kk 60 m²Zadní luhy, Zlín - Louky;1​4​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-louky-zadni-luhy/963818316;14900.0;2+kk;60.0;Zadní luhy, Zlín - Louky
Pronájem bytu pokoje 21 m²Sokolská, Hvozdná;5​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/pokoj/hvozdna-hvozdna-sokolska/1665557068;5000.0;;21.0;Sokolská, Hvozdná
Pronájem bytu 1+kk 45 m²Smetanova, Zlín;1​3​ ​2​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-smetanova/2670748236;13200.0;1+kk;45.0;Smetanova, Zlín
Pronájem bytu 3+kk 12 m²třída 3. května, Zlín - Malenovice;6​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-malenovice-trida-3-kvetna/2379965004;6000.0;3+kk;12.0;třída 3. května, Zlín - Malenovice
Pronájem bytu atypický 25 m²třída Tomáše Bati, Zlín;8​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/atypicky/zlin-zlin-trida-tomase-bati/1991406156;8500.0;;25.0;třída Tomáše Bati, Zlín
Pronájem bytu pokoje 21 m²tř. Spojenců, Otrokovice;8​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/pokoj/otrokovice-otrokovice-tr-spojencu/2953052748;8500.0;;21.0;tř. Spojenců, Otrokovice
Pronájem bytu pokoje 21 m²tř. Spojenců, Otrokovice;1​0​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/pokoj/otrokovice-otrokovice-tr-spojencu/84148812;10500.0;;21.0;tř. Spojenců, Otrokovice
Pronájem bytu pokoje 21 m²tř. Spojenců, Otrokovice;9​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/pokoj/otrokovice-otrokovice-tr-spojencu/3644064332;9500.0;;21.0;tř. Spojenců, Otrokovice
Pronájem bytu 1+1 33 m²Česká, Zlín;1​1​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-ceska/1908871756;11500.0;1+1;33.0;Česká, Zlín
Pronájem bytu pokoje 58 m²Benešovo nábřeží, Zlín;3​ ​8​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-zlin-benesovo-nabrezi/2667782732;3800.0;;58.0;Benešovo nábřeží, Zlín
Pronájem bytu pokoje 89 m²Česká, Zlín;3​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-zlin-ceska/1236247372;3500.0;;89.0;Česká, Zlín
Pronájem bytu 2+kk 45 m²Zlín - Louky;1​2​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-louky-/182441292;12500.0;2+kk;45.0;Zlín - Louky
Pronájem bytu 1+1 40 m²Racková;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/rackova-rackova-/1342734924;12000.0;1+1;40.0;Racková
Pronájem bytu 4+kk 100 m²Luhačovice;3​9​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/4+kk/luhacovice-luhacovice-/826365260;39900.0;4+kk;100.0;Luhačovice
